bottled_wine_gallons_by_state,still_wines_bottled,still_wines_taxable_withdrawals_not_over_14_alcohol,still_wines_taxable_withdrawals_over_14_alcohol,still_wines_taxable_withdrawals_cider,still_wines_stocks_end_of_month_not_over_14_alcohol,still_wines_stocks_end_of_month_over_14_alcohol,still_wines_stocks_end_of_month_cider,effervescent_wines_bottled,effervescent_wines_taxable_withdrawals_artificially_carbonated_wines,effervescent_wines_taxable_withdrawals_naturally_carbonated_wines,effervescent_wines_stocks_end_of_month
ALABAMA,24246,9645098,182218,67,,,,240,28459,626288,
ARIZONA,148804,74839,64064,200,,,,165,439,0,
ARKANSAS,317933,267146,43924,0,,,,1710,1021,637,
CALIFORNIA,554519081,342721663,52029515,2859077,,,,27135492,529499,16013862,
COLORADO,484312,234267,73741,134211,,,,955,223,133,
CONNECTICUT,188679,146218,11361,1500,,,,2491,2991,84,
FLORIDA,1186414,16427863,666459,331620,,,,4913,11937,994080,
GEORGIA,201604,165144,18437,133505,,,,2561,0,1796,
IDAHO,473774,265968,48526,635,,,,1165,104,477,
ILLINOIS,1175137,20805460,574050,1919,,,,12057,51945,1030586,
INDIANA,2068410,1992750,25184,28854,,,,43373,35025,998,
IOWA,244928,228120,2393,1513,,,,4502,3906,171,
KANSAS,82352,10395885,264819,275,,,,41,59401,695161,
KENTUCKY,184720,128283,48789,0,,,,65,0,67,
LOUISIANA,92320,92205,31,0,,,,0,0,0,
MAINE,69737,46470,16622,4977,,,,1208,1305,174,
MARYLAND,449611,332286,41411,4,,,,408,51,306,
MASSACHUSETTS,945576,168968,9307,692897,,,,15302,0,14600,
MICHIGAN,2456041,1900183,13627,500303,,,,110373,19391,67059,
MINNESOTA,267668,146807,9465,102375,,,,4752,3431,132,
MISSOURI,1192947,1169805,24457,54776,,,,46150,13145,8260,
MONTANA,41096,39967,1521,645,,,,0,0,0,
NEBRASKA,86114,86265,952,530,,,,752,626,25,
NEW HAMPSHIRE,107700,86754,4186,1798,,,,1636,123,906,
NEW JERSEY,1191802,1077569,14679,112,,,,52969,451,51866,
NEW MEXICO,348115,352010,8411,10661,,,,300543,10650,258290,
NEW YORK,34521675,21190657,5534047,4368960,,,,2083920,21436,1993409,
NORTH CAROLINA,1696448,1474324,63641,52795,,,,24976,13844,11328,
OHIO,9903951,1420422,34637,,,,,90616,22311,3135,
OKLAHOMA,54954,48644,2101,55,,,,240,0,54,
OREGON,10834561,6600948,851279,934673,,,,103435,5459,32499,
PENNSYLVANIA,29347655,32072869,814960,,,,,13551,143224,1855347,
SOUTH CAROLINA,39081,58608,133,0,,,,0,0,362,
SOUTH DAKOTA,70425,60394,4951,0,,,,0,0,0,
TENNESSEE,3398566,349945,23040,2965224,,,,5721,4358,692,
TEXAS,3030362,13271710,525553,374977,,,,2994,58335,1323044,
VERMONT,6948589,1499538,979,5361040,,,,66122,615,1526,
VIRGINIA,1676180,1040026,51220,931182,,,,23091,152,20367,
WASHINGTON,33424791,22583527,3808148,767249,,,,492246,1031,391144,
WEST VIRGINIA,25880,22019,1896,0,,,,0,0,0,
WISCONSIN,1419478,683485,28243,666142,,,,3042,1530,1666,
Others,400407,292461,20747,33850864,,,,8793,102,7439,
Total,705342124,511667570,65963724,55135615,,,,30662570,1046520,25407970,
