bulk_wine_gallons_by_state,special_natural_wines_other_production,special_natural_wines_other_taxable_withdrawals,special_natural_wines_other_stocks_end_of_month,effervescent_wines_production,effervescent_wines_taxable_withdrawals_artificially_carbonated_wines,effervescent_wines_taxable_withdrawals_naturally_carbonated_wines,effervescent_wines_stocks_end_of_month
CALIFORNIA,24714694,23571322,,27736146,0,4512,
MICHIGAN,72711,38878,,89094,716,4,
MISSOURI,64,80,,7246,360,0,
NEW JERSEY,8552,8052,,56732,0,0,
NEW MEXICO,0,0,,444601,0,0,
NEW YORK,36023,30039,,2171455,354,409,
NORTH CAROLINA,0,0,,27548,0,0,
OHIO,551692,565339,,1373,0,0,
OREGON,10253,212,,100020,35,435,
PENNSYLVANIA,302,193,,8070,34,0,
WASHINGTON,339,348,,596503,258,217,
WISCONSIN,0,0,,3074,0,0,
Others,90112,61566,,155456,0,0,
Total,25484742,24276029,,31397318,1757,5577,
