,product_name,price,varietal,rating,rating_count,appellation,region,year
0,Dom Perignon Vintage with Gift Box,199,Vintage Sparkling Wine,4.5,42.0,['Champagne'], France,2010
2,Duckhorn Napa Valley Cabernet Sauvignon,78,Cabernet Sauvignon,4.3,62.0,['Napa Valley'], California,2017
3,Caymus Special Selection Cabernet Sauvignon,180,Cabernet Sauvignon,4.6,108.0,['Napa Valley'], California,2016
4,Quintessa,199,Cabernet Sauvignon,4.7,73.0,[' Napa Valley'], California,2016
5,Joseph Phelps Insignia,300,Bordeaux Red Blends,4.6,81.0,['Napa Valley'], California,2016
6,Opus One,364,Bordeaux Red Blends,4.2,8.0,[' Napa Valley'], California,2017
7,Trefethen Cabernet Sauvignon,65,Cabernet Sauvignon,4.3,65.0,[' Napa Valley'], California,2017
8,Dom Perignon Vintage,189,Vintage Sparkling Wine,4.8,10.0,['Champagne'], France,2010
9,Antinori Tignanello,129,Tuscan Blends,4.9,45.0,['Tuscany'], Italy,2017
10,Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon,175,Cabernet Sauvignon,4.2,50.0,[' Napa Valley'], California,2016
12,Mazzei Chianti Classico Riserva Ser Lapo,37,Sangiovese,4.0,672.0,[' Tuscany'], Italy,2016
13,Veuve Clicquot La Grande Dame with Gift Box,189,Vintage Sparkling Wine,4.6,31.0,['Champagne'], France,2008
14,Ulysses Cabernet Sauvignon,219,Cabernet Sauvignon,0.0,0.0,['Napa Valley'], California,2016
15,Stags' Leap Winery The Leap Estate Grown Cabernet Sauvignon,110,Cabernet Sauvignon,4.4,34.0,[' Napa Valley'], California,2016
16,Beringer Private Reserve Cabernet Sauvignon,170,Cabernet Sauvignon,4.5,41.0,['Napa Valley'], California,2015
18,The Prisoner Wine Company Cuttings,55,Cabernet Sauvignon,4.4,308.0,['Napa Valley'], California,2017
19,Dominus Estate,299,Bordeaux Red Blends,4.4,77.0,[' Napa Valley'], California,2016
20,Bella Union by Far Niente Cabernet Sauvignon,80,Cabernet Sauvignon,4.3,156.0,['Napa Valley'], California,2017
21,Taittinger Comtes de Champagne Blanc de Blancs,209,Vintage Sparkling Wine,0.0,0.0,['Champagne'], France,2008
22,Shafer Hillside Select Cabernet Sauvignon,310,Cabernet Sauvignon,4.7,23.0,[' Napa Valley'], California,2015
23,Chateau Pontet-Canet,169,Bordeaux Red Blends,4.3,32.0,[' Bordeaux'], France,2016
24,Louis Roederer Cristal Brut with Gift Box,289,Vintage Sparkling Wine,4.9,16.0,['Champagne'], France,2012
25,Cristom Mt. Jefferson Cuvee Pinot Noir,32,Pinot Noir,4.1,97.0,[' Willamette Valley'], Oregon,2018
26,Argiano Brunello di Montalcino,75,Sangiovese,4.3,169.0,[' Tuscany'], Italy,2015
27,G.D. Vajra Barolo Albe,40,Nebbiolo,4.1,49.0,[' Piedmont'], Italy,2016
28,Heitz Cellar Napa Valley Cabernet Sauvignon,57,Cabernet Sauvignon,4.1,64.0,['Napa Valley'], California,2015
29,Trefethen Estate Chardonnay,38,Chardonnay,4.0,82.0,[' Napa Valley'], California,2018
30,Hall Coeur Cabernet Sauvignon,70,Cabernet Sauvignon,4.4,26.0,[' Napa Valley'], California,2016
31,Freemark Abbey Napa Valley Cabernet Sauvignon,60,Cabernet Sauvignon,4.2,188.0,['Napa Valley'], California,2016
32,Domaine de la Janasse Chateauneuf-du-Pape Vieilles Vignes,118,Rhone Red Blends,4.0,14.0,[' Rhone'], France,2017
33,Austin Hope Cabernet Sauvignon,54,Cabernet Sauvignon,4.5,206.0,[' Central Coast'], California,2018
34,Produttori del Barbaresco Barbaresco,44,Nebbiolo,4.3,238.0,[' Piedmont'], Italy,2016
35,Castellani Sangiovese,14,Sangiovese,4.0,169.0,['Tuscany'], Italy,2016
36,Mayacamas Cabernet Sauvignon,124,Cabernet Sauvignon,4.1,67.0,[' Napa Valley'], California,2014
38,Chateau Rauzan-Segla,159,Bordeaux Red Blends,4.5,13.0,[' Bordeaux'], France,2010
39,Parducci True Grit Reserve Petite Sirah,30,Petite Sirah,4.1,33.0,['Mendocino'], California,2018
40,Far Niente Napa Valley Cabernet Sauvignon,150,Cabernet Sauvignon,0.0,0.0,['Napa Valley'], California,2018
41,Martin Ray Sonoma Coast Pinot Noir,28,Pinot Noir,3.8,663.0,[' Sonoma County'], California,2018
42,Louis Latour Chateau Corton Grancey Grand Cru,200,Pinot Noir,0.0,0.0,[' Burgundy'], France,2016
43,Pio Cesare Barolo,82,Nebbiolo,0.0,0.0,[' Piedmont'], Italy,2016
44,La Rasina Brunello di Montalcino,58,Sangiovese,4.5,41.0,[' Tuscany'], Italy,2015
45,Clarendon Hills Astralis Syrah,200,Syrah/Shiraz,4.2,33.0,[' South Australia'], Australia,2011
46,El Enemigo Chardonnay,24,Chardonnay,4.1,52.0,['Mendoza'], Argentina,2018
47,Chateau Pontet-Canet,289,Bordeaux Red Blends,4.4,51.0,[' Bordeaux'], France,2010
48,Faust Cabernet Sauvignon,55,Cabernet Sauvignon,3.9,7.0,['Napa Valley'], California,2018
49,Opus One,449,Bordeaux Red Blends,4.7,16.0,[' Napa Valley'], California,2007
50,Dom Perignon Vintage with Gift Box,199,Vintage Sparkling Wine,4.5,42.0,['Champagne'], France,2010
52,Duckhorn Napa Valley Cabernet Sauvignon,78,Cabernet Sauvignon,4.3,62.0,['Napa Valley'], California,2017
53,Caymus Special Selection Cabernet Sauvignon,180,Cabernet Sauvignon,4.6,108.0,['Napa Valley'], California,2016
54,Quintessa,199,Cabernet Sauvignon,4.7,73.0,[' Napa Valley'], California,2016
55,Joseph Phelps Insignia,300,Bordeaux Red Blends,4.6,81.0,['Napa Valley'], California,2016
56,Opus One,364,Bordeaux Red Blends,4.2,8.0,[' Napa Valley'], California,2017
57,Trefethen Cabernet Sauvignon,65,Cabernet Sauvignon,4.3,65.0,[' Napa Valley'], California,2017
58,Dom Perignon Vintage,189,Vintage Sparkling Wine,4.8,10.0,['Champagne'], France,2010
59,Antinori Tignanello,129,Tuscan Blends,4.9,45.0,['Tuscany'], Italy,2017
60,Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon,175,Cabernet Sauvignon,4.2,50.0,[' Napa Valley'], California,2016
62,Mazzei Chianti Classico Riserva Ser Lapo,37,Sangiovese,4.0,672.0,[' Tuscany'], Italy,2016
63,Veuve Clicquot La Grande Dame with Gift Box,189,Vintage Sparkling Wine,4.6,31.0,['Champagne'], France,2008
64,Ulysses Cabernet Sauvignon,219,Cabernet Sauvignon,0.0,0.0,['Napa Valley'], California,2016
65,Stags' Leap Winery The Leap Estate Grown Cabernet Sauvignon,110,Cabernet Sauvignon,4.4,34.0,[' Napa Valley'], California,2016
66,Beringer Private Reserve Cabernet Sauvignon,170,Cabernet Sauvignon,4.5,41.0,['Napa Valley'], California,2015
68,The Prisoner Wine Company Cuttings,55,Cabernet Sauvignon,4.4,308.0,['Napa Valley'], California,2017
69,Dominus Estate,299,Bordeaux Red Blends,4.4,77.0,[' Napa Valley'], California,2016
70,Bella Union by Far Niente Cabernet Sauvignon,80,Cabernet Sauvignon,4.3,156.0,['Napa Valley'], California,2017
71,Taittinger Comtes de Champagne Blanc de Blancs,209,Vintage Sparkling Wine,0.0,0.0,['Champagne'], France,2008
72,Shafer Hillside Select Cabernet Sauvignon,310,Cabernet Sauvignon,4.7,23.0,[' Napa Valley'], California,2015
73,Chateau Pontet-Canet,169,Bordeaux Red Blends,4.3,32.0,[' Bordeaux'], France,2016
74,Louis Roederer Cristal Brut with Gift Box,289,Vintage Sparkling Wine,4.9,16.0,['Champagne'], France,2012
75,Cristom Mt. Jefferson Cuvee Pinot Noir,32,Pinot Noir,4.1,97.0,[' Willamette Valley'], Oregon,2018
76,Argiano Brunello di Montalcino,75,Sangiovese,4.3,169.0,[' Tuscany'], Italy,2015
77,G.D. Vajra Barolo Albe,40,Nebbiolo,4.1,49.0,[' Piedmont'], Italy,2016
78,Heitz Cellar Napa Valley Cabernet Sauvignon,57,Cabernet Sauvignon,4.1,64.0,['Napa Valley'], California,2015
79,Trefethen Estate Chardonnay,38,Chardonnay,4.0,82.0,[' Napa Valley'], California,2018
80,Hall Coeur Cabernet Sauvignon,70,Cabernet Sauvignon,4.4,26.0,[' Napa Valley'], California,2016
81,Freemark Abbey Napa Valley Cabernet Sauvignon,60,Cabernet Sauvignon,4.2,188.0,['Napa Valley'], California,2016
82,Domaine de la Janasse Chateauneuf-du-Pape Vieilles Vignes,118,Rhone Red Blends,4.0,14.0,[' Rhone'], France,2017
83,Austin Hope Cabernet Sauvignon,54,Cabernet Sauvignon,4.5,206.0,[' Central Coast'], California,2018
84,Produttori del Barbaresco Barbaresco,44,Nebbiolo,4.3,238.0,[' Piedmont'], Italy,2016
85,Castellani Sangiovese,14,Sangiovese,4.0,169.0,['Tuscany'], Italy,2016
86,Mayacamas Cabernet Sauvignon,124,Cabernet Sauvignon,4.1,67.0,[' Napa Valley'], California,2014
88,Chateau Rauzan-Segla,159,Bordeaux Red Blends,4.5,13.0,[' Bordeaux'], France,2010
89,Parducci True Grit Reserve Petite Sirah,30,Petite Sirah,4.1,33.0,['Mendocino'], California,2018
90,Far Niente Napa Valley Cabernet Sauvignon,150,Cabernet Sauvignon,0.0,0.0,['Napa Valley'], California,2018
91,Martin Ray Sonoma Coast Pinot Noir,28,Pinot Noir,3.8,663.0,[' Sonoma County'], California,2018
92,Louis Latour Chateau Corton Grancey Grand Cru,200,Pinot Noir,0.0,0.0,[' Burgundy'], France,2016
93,Pio Cesare Barolo,82,Nebbiolo,0.0,0.0,[' Piedmont'], Italy,2016
94,La Rasina Brunello di Montalcino,58,Sangiovese,4.5,41.0,[' Tuscany'], Italy,2015
95,Clarendon Hills Astralis Syrah,200,Syrah/Shiraz,4.2,33.0,[' South Australia'], Australia,2011
96,El Enemigo Chardonnay,24,Chardonnay,4.1,52.0,['Mendoza'], Argentina,2018
97,Chateau Pontet-Canet,289,Bordeaux Red Blends,4.4,51.0,[' Bordeaux'], France,2010
98,Faust Cabernet Sauvignon,55,Cabernet Sauvignon,3.9,7.0,['Napa Valley'], California,2018
99,Opus One,449,Bordeaux Red Blends,4.7,16.0,[' Napa Valley'], California,2007
100,Dom Perignon Vintage with Gift Box,199,Vintage Sparkling Wine,4.5,42.0,['Champagne'], France,2010
102,Duckhorn Napa Valley Cabernet Sauvignon,78,Cabernet Sauvignon,4.3,62.0,['Napa Valley'], California,2017
103,Caymus Special Selection Cabernet Sauvignon,180,Cabernet Sauvignon,4.6,108.0,['Napa Valley'], California,2016
104,Quintessa,199,Cabernet Sauvignon,4.7,73.0,[' Napa Valley'], California,2016
105,Joseph Phelps Insignia,300,Bordeaux Red Blends,4.6,81.0,['Napa Valley'], California,2016
106,Opus One,364,Bordeaux Red Blends,4.2,8.0,[' Napa Valley'], California,2017
107,Trefethen Cabernet Sauvignon,65,Cabernet Sauvignon,4.3,65.0,[' Napa Valley'], California,2017
108,Dom Perignon Vintage,189,Vintage Sparkling Wine,4.8,10.0,['Champagne'], France,2010
109,Antinori Tignanello,129,Tuscan Blends,4.9,45.0,['Tuscany'], Italy,2017
110,Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon,175,Cabernet Sauvignon,4.2,50.0,[' Napa Valley'], California,2016
112,Mazzei Chianti Classico Riserva Ser Lapo,37,Sangiovese,4.0,672.0,[' Tuscany'], Italy,2016
113,Veuve Clicquot La Grande Dame with Gift Box,189,Vintage Sparkling Wine,4.6,31.0,['Champagne'], France,2008
114,Ulysses Cabernet Sauvignon,219,Cabernet Sauvignon,0.0,0.0,['Napa Valley'], California,2016
115,Stags' Leap Winery The Leap Estate Grown Cabernet Sauvignon,110,Cabernet Sauvignon,4.4,34.0,[' Napa Valley'], California,2016
116,Beringer Private Reserve Cabernet Sauvignon,170,Cabernet Sauvignon,4.5,41.0,['Napa Valley'], California,2015
118,The Prisoner Wine Company Cuttings,55,Cabernet Sauvignon,4.4,308.0,['Napa Valley'], California,2017
119,Dominus Estate,299,Bordeaux Red Blends,4.4,77.0,[' Napa Valley'], California,2016
120,Bella Union by Far Niente Cabernet Sauvignon,80,Cabernet Sauvignon,4.3,156.0,['Napa Valley'], California,2017
121,Taittinger Comtes de Champagne Blanc de Blancs,209,Vintage Sparkling Wine,0.0,0.0,['Champagne'], France,2008
122,Shafer Hillside Select Cabernet Sauvignon,310,Cabernet Sauvignon,4.7,23.0,[' Napa Valley'], California,2015
123,Chateau Pontet-Canet,169,Bordeaux Red Blends,4.3,32.0,[' Bordeaux'], France,2016
124,Louis Roederer Cristal Brut with Gift Box,289,Vintage Sparkling Wine,4.9,16.0,['Champagne'], France,2012
125,Cristom Mt. Jefferson Cuvee Pinot Noir,32,Pinot Noir,4.1,97.0,[' Willamette Valley'], Oregon,2018
126,Argiano Brunello di Montalcino,75,Sangiovese,4.3,169.0,[' Tuscany'], Italy,2015
127,G.D. Vajra Barolo Albe,40,Nebbiolo,4.1,49.0,[' Piedmont'], Italy,2016
128,Heitz Cellar Napa Valley Cabernet Sauvignon,57,Cabernet Sauvignon,4.1,64.0,['Napa Valley'], California,2015
129,Trefethen Estate Chardonnay,38,Chardonnay,4.0,82.0,[' Napa Valley'], California,2018
130,Hall Coeur Cabernet Sauvignon,70,Cabernet Sauvignon,4.4,26.0,[' Napa Valley'], California,2016
131,Freemark Abbey Napa Valley Cabernet Sauvignon,60,Cabernet Sauvignon,4.2,188.0,['Napa Valley'], California,2016
132,Domaine de la Janasse Chateauneuf-du-Pape Vieilles Vignes,118,Rhone Red Blends,4.0,14.0,[' Rhone'], France,2017
133,Austin Hope Cabernet Sauvignon,54,Cabernet Sauvignon,4.5,206.0,[' Central Coast'], California,2018
134,Produttori del Barbaresco Barbaresco,44,Nebbiolo,4.3,238.0,[' Piedmont'], Italy,2016
135,Castellani Sangiovese,14,Sangiovese,4.0,169.0,['Tuscany'], Italy,2016
136,Mayacamas Cabernet Sauvignon,124,Cabernet Sauvignon,4.1,67.0,[' Napa Valley'], California,2014
138,Chateau Rauzan-Segla,159,Bordeaux Red Blends,4.5,13.0,[' Bordeaux'], France,2010
139,Parducci True Grit Reserve Petite Sirah,30,Petite Sirah,4.1,33.0,['Mendocino'], California,2018
140,Far Niente Napa Valley Cabernet Sauvignon,150,Cabernet Sauvignon,0.0,0.0,['Napa Valley'], California,2018
141,Martin Ray Sonoma Coast Pinot Noir,28,Pinot Noir,3.8,663.0,[' Sonoma County'], California,2018
142,Louis Latour Chateau Corton Grancey Grand Cru,200,Pinot Noir,0.0,0.0,[' Burgundy'], France,2016
143,Pio Cesare Barolo,82,Nebbiolo,0.0,0.0,[' Piedmont'], Italy,2016
144,La Rasina Brunello di Montalcino,58,Sangiovese,4.5,41.0,[' Tuscany'], Italy,2015
145,Clarendon Hills Astralis Syrah,200,Syrah/Shiraz,4.2,33.0,[' South Australia'], Australia,2011
146,El Enemigo Chardonnay,24,Chardonnay,4.1,52.0,['Mendoza'], Argentina,2018
147,Chateau Pontet-Canet,289,Bordeaux Red Blends,4.4,51.0,[' Bordeaux'], France,2010
148,Faust Cabernet Sauvignon,55,Cabernet Sauvignon,3.9,7.0,['Napa Valley'], California,2018
149,Opus One,449,Bordeaux Red Blends,4.7,16.0,[' Napa Valley'], California,2007
150,Beringer Private Reserve Chardonnay,48,Chardonnay,4.3,72.0,['Napa Valley'], California,2018
151,Paco & Lola Albarino,19,Albarino,4.2,77.0,['Rias Baixas'], Spain,2019
152,Merry Edwards Sauvignon Blanc,48,Sauvignon Blanc,4.5,68.0,[' Sonoma County'], California,2018
153,Castello di Monsanto Chianti Classico Riserva,30,Sangiovese,4.2,427.0,[' Tuscany'], Italy,2016
154,Beaulieu Vineyard Georges de Latour Private Reserve,150,Cabernet Sauvignon,4.6,31.0,['Napa Valley'], California,2016
155,Screaming Eagle Cabernet Sauvignon,3199,Cabernet Sauvignon,0.0,0.0,[' Napa Valley'], California,2002
156,Opus One,449,Bordeaux Red Blends,4.6,39.0,[' Napa Valley'], California,2012
157,Chateau Castera,29,Bordeaux Red Blends,3.8,211.0,[' Bordeaux'], France,2015
158,St. Supery Sauvignon Blanc,22,Sauvignon Blanc,4.0,614.0,['Napa Valley'], California,2018
159,Domaine Drouhin Oregon Pinot Noir,43,Pinot Noir,4.2,11.0,[' Willamette Valley'], Oregon,2017
160,Frog's Leap Estate Grown Cabernet Sauvignon,65,Cabernet Sauvignon,4.3,44.0,[' Napa Valley'], California,2017
161,Quilceda Creek Cabernet Sauvignon,200,Cabernet Sauvignon,0.0,0.0,['Columbia Valley'], Washington,2017
162,Domaine de la Janasse Chateauneuf-du-Pape Cuvee Chaupin,86,Rhone Red Blends,4.0,17.0,[' Rhone'], France,2017
163,Dominus Estate,209,Bordeaux Red Blends,4.4,20.0,[' Napa Valley'], California,2017
164,Chateau Montelena Napa Valley Chardonnay,58,Chardonnay,4.4,106.0,['Napa Valley'], California,2017
165,Chateau Montrose,359,Bordeaux Red Blends,4.6,9.0,[' Bordeaux'], France,2009
166,Hartford Court Russian River Chardonnay,30,Chardonnay,4.2,213.0,[' Sonoma County'], California,2018
168,San Simeon Stormwatch Estate Reserve Red,80,Bordeaux Red Blends,4.3,51.0,[' Central Coast'], California,2015
169,Brewer-Clifton Sta. Rita Hills Chardonnay,36,Chardonnay,4.3,43.0,[' Central Coast'], California,2017
170,Belle Glos Clark and Telephone Vineyard Pinot Noir,55,Pinot Noir,4.4,139.0,[' Central Coast'], California,2018
171,La Rioja Alta Vina Ardanza Reserva,37,Tempranillo,4.6,53.0,['Rioja'], Spain,2012
173,Allegrini Amarone,93,Other Red Blends,4.4,27.0,['Veneto'], Italy,2015
176,Leonetti Cabernet Sauvignon,124,Cabernet Sauvignon,0.0,0.0,[' Columbia Valley'], Washington,2017
177,Bibi Graetz Testamatta,89,Sangiovese,4.7,14.0,['Tuscany'], Italy,2016
178,Fuligni Brunello di Montalcino,109,Sangiovese,4.6,16.0,[' Tuscany'], Italy,2015
179,Domaine Drouhin Oregon Laurene Pinot Noir,71,Pinot Noir,0.0,0.0,[' Willamette Valley'], Oregon,2017
181,Zuccardi Concreto Malbec,40,Malbec,0.0,0.0,[' Mendoza'], Argentina,2019
182,Groth Reserve Cabernet Sauvignon,150,Cabernet Sauvignon,4.8,27.0,[' Napa Valley'], California,2016
183,Tenuta San Guido Sassicaia,279,Bordeaux Red Blends,4.8,84.0,[' Tuscany'], Italy,2015
184,Kapcsandy Family Winery State Lane Cabernet Sauvignon Grand Vin,499,Cabernet Sauvignon,0.0,0.0,[' Napa Valley'], California,2016
185,Viticcio Chianti Classico Riserva,30,Sangiovese,4.0,292.0,[' Tuscany'], Italy,2015
186,Billecart-Salmon Cuvee Nicolas Francois Brut,170,Vintage Sparkling Wine,0.0,0.0,['Champagne'], France,2006
187,Screaming Eagle Cabernet Sauvignon,3699,Cabernet Sauvignon,4.2,16.0,[' Napa Valley'], California,2007
188,Chateau La Nerthe Chateauneuf-du-Pape Rouge,59,Rhone Red Blends,4.6,129.0,[' Rhone'], France,2016
189,Hall Ellie's Cabernet Sauvignon,85,Cabernet Sauvignon,4.2,10.0,['Napa Valley'], California,2016
190,Shafer Red Shoulder Ranch Chardonnay,52,Chardonnay,4.5,15.0,['Carneros'], California,2018
191,Spottswoode Cabernet Sauvignon,229,Cabernet Sauvignon,4.7,6.0,[' Napa Valley'], California,2017
192,Catena Alta Malbec,60,Malbec,4.2,77.0,['Mendoza'], Argentina,2016
193,Hess Collection Mount Veeder Cabernet Sauvignon,70,Cabernet Sauvignon,4.3,75.0,[' Napa Valley'], California,2013
194,Harlan Estate,899,Bordeaux Red Blends,4.5,6.0,[' Napa Valley'], California,2011
195,Mt. Brave Cabernet Sauvignon,100,Cabernet Sauvignon,4.3,15.0,[' Napa Valley'], California,2016
197,Quintessa,199,Cabernet Sauvignon,4.7,64.0,[' Napa Valley'], California,2015
198,Hartford Court Russian River Pinot Noir ,18,Pinot Noir,4.4,25.0,[' Sonoma County'], California,2017
199,Larkmead Cabernet Sauvignon,135,Cabernet Sauvignon,4.3,16.0,['Napa Valley'], California,2016
200,Joseph Phelps Insignia,300,Bordeaux Red Blends,4.8,6.0,['Napa Valley'], California,2017
201,Tenuta Luce Brunello di Montalcino,144,Sangiovese,3.3,7.0,[' Tuscany'], Italy,2015
202,Nickel & Nickel C.C. Ranch Cabernet Sauvignon,125,Cabernet Sauvignon,0.0,0.0,[' Napa Valley'], California,2018
203,Castello di Querceto Liocorno Chianti Classico Riserva,18,Sangiovese,3.7,103.0,[' Tuscany'], Italy,2015
204,Ridge Lytton Springs,44,Other Red Blends,4.5,6.0,[' Sonoma County'], California,2018
205,Taylor Fladgate Vintage Port,149,Port,4.6,38.0,['Douro'], Portugal,2016
206,Castello Romitorio Brunello di Montalcino,70,Sangiovese,4.3,17.0,[' Tuscany'], Italy,2015
207,Veuve Clicquot Vintage Brut,89,Vintage Sparkling Wine,4.8,25.0,['Champagne'], France,2012
208,Philippe Colin Chassagne-Montrachet Les Chaumees Clos St Abdon Premier Cru,110,Chardonnay,5.0,5.0,[' Burgundy'], France,2017
209,Montes Alpha Series Syrah,19,Syrah/Shiraz,4.1,206.0,[' Rapel Valley'], Chile,2017
210,Nickel & Nickel State Ranch Cabernet Sauvignon,125,Cabernet Sauvignon,0.0,0.0,[' Napa Valley'], California,2018
211,La Vizcaina Las Gundinas Tinto,41,Other Red Blends,0.0,0.0,['Bierzo'], Spain,2018
213,Antinori Castello della Sala Cervaro,59,Chardonnay,4.7,33.0,['Umbria'], Italy,2018
214,Hall Kathryn Hall Cabernet Sauvignon,179,Cabernet Sauvignon,4.6,47.0,['Napa Valley'], California,2016
215,Durigutti Cabernet Sauvignon,16,Cabernet Sauvignon,3.7,87.0,['Mendoza'], Argentina,2018
216,Querciabella Chianti Classico,33,Sangiovese,4.0,56.0,[' Tuscany'], Italy,2016
217,Drappier Grande Sendree Brut,120,Vintage Sparkling Wine,0.0,0.0,['Champagne'], France,2009
218,Flowers Sonoma Coast Chardonnay,50,Chardonnay,4.4,58.0,[' Sonoma County'], California,2017
219,Aperture Alexander Valley Red Blend,54,Bordeaux Red Blends,0.0,0.0,[' Sonoma County'], California,2018
220,Roederer Estate L'Ermitage,54,Vintage Sparkling Wine,4.5,33.0,[' Mendocino'], California,2013
221,Chateau de Vaudieu Val de Dieu Chateauneuf-du-Pape,90,Rhone Red Blends,0.0,0.0,[' Rhone'], France,2017
222,Castiglion del Bosco Brunello di Montalcino,70,Sangiovese,4.3,157.0,[' Tuscany'], Italy,2015
223,Paul Lato Magic Moments Hyde Vineyard Pinot Noir,94,Pinot Noir,0.0,0.0,['Carneros'], California,2018
224,DAOU Vineyards Soul of a Lion,159,Bordeaux Red Blends,4.8,19.0,[' Central Coast'], California,2017
225,Domaines Ott Chateau de Selle Cotes de Provence Rose,55,Rosé,4.8,17.0,[' South of France'], France,2019
226,Domaine Serene Evenstad Reserve Pinot Noir,78,Pinot Noir,5.0,5.0,['Willamette Valley'], Oregon,2017
227,Louis Roederer Brut Vintage with Gift Box,79,Vintage Sparkling Wine,0.0,0.0,['Champagne'], France,2012
228,Silverado Cabernet Sauvignon,53,Cabernet Sauvignon,4.1,136.0,['Napa Valley'], California,2016
229,Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon,149,Cabernet Sauvignon,0.0,0.0,[' Napa Valley'], California,2017
230,Vietti Barolo Castiglione,54,Nebbiolo,4.3,25.0,[' Piedmont'], Italy,2016
231,Mayacamas Chardonnay,49,Chardonnay,0.0,0.0,[' Napa Valley'], California,2018
232,Vie di Romans Dessimis Pinot Grigio,34,Pinot Gris/Grigio,0.0,0.0,['Friuli-Venezia Giulia'], Italy,2018
233,Hundred Acre Kayli Morgan Cabernet Sauvignon,529,Cabernet Sauvignon,5.0,5.0,['Napa Valley'], California,2006
234,Penfolds RWT Shiraz,159,Syrah/Shiraz,4.6,25.0,[' South Australia'], Australia,2016
235,Tenuta Luce,135,Tuscan Blends,4.5,31.0,['Tuscany'], Italy,2016
236,Belle Glos Las Alturas Vineyard Pinot Noir,55,Pinot Noir,4.6,61.0,[' Central Coast'], California,2018
237,Chateau Leoville Poyferre,299,Bordeaux Red Blends,4.0,15.0,[' Bordeaux'], France,2009
238,Kosta Browne Russian River Pinot Noir ,49,Pinot Noir,4.7,5.0,[' Sonoma County'], California,2018
239,Paul Lato Victor Francis Peake Ranch Vineyard Pinot Noir,74,Pinot Noir,0.0,0.0,[' Central Coast'], California,2018
240,K Vintners The Hidden Syrah,69,Syrah/Shiraz,0.0,0.0,[' Columbia Valley'], Washington,2017
241,Chateau Smith Haut Lafitte,124,Bordeaux Red Blends,4.4,35.0,[' Bordeaux'], France,2016
242,Groth Cabernet Sauvignon,65,Cabernet Sauvignon,4.1,25.0,[' Napa Valley'], California,2016
243,Chateau de Vaudieu Chateauneuf-du-Pape,55,Rhone Red Blends,4.1,16.0,[' Rhone'], France,2017
244,Chateau Montelena Estate Cabernet Sauvignon,175,Cabernet Sauvignon,4.9,13.0,[' Napa Valley'], California,2016
245,Quintessa,200,Cabernet Sauvignon,0.0,0.0,[' Napa Valley'], California,2017
246,Duckhorn Three Palms Merlot,99,Merlot,4.3,7.0,[' Napa Valley'], California,2017
247,Tenuta Sette Ponti Crognolo,45,Tuscan Blends,4.9,57.0,['Tuscany'], Italy,2018
248,Castelli Martinozzi Brunello di Montalcino,50,Sangiovese,4.5,43.0,[' Tuscany'], Italy,2015
249,Realm The Bard,179,Bordeaux Red Blends,0.0,0.0,['Napa Valley'], California,2018
250,La Magia Brunello di Montalcino,60,Sangiovese,4.2,10.0,[' Tuscany'], Italy,2015
251,Chateau d'Yquem Sauternes ,249,Other Dessert,0.0,0.0,[' Bordeaux'], France,2016
252,Pahlmeyer Napa Valley Proprietary Red,200,Bordeaux Red Blends,4.6,20.0,['Napa Valley'], California,2016
253,Palacios Remondo La Montesa,20,Grenache,4.1,58.0,['Rioja'], Spain,2017
254,Bodegas Valderiz Ribera del Duero,40,Tempranillo,4.1,15.0,['Ribera del Duero'], Spain,2017
256,Chateau Pavie,399,Bordeaux Red Blends,5.0,5.0,[' Bordeaux'], France,2015
258,Heitz Cellar Martha's Vineyard Cabernet Sauvignon,249,Cabernet Sauvignon,4.4,15.0,[' Napa Valley'], California,2014
259,Kosta Browne Russian River Pinot Noir,115,Pinot Noir,4.8,43.0,[' Sonoma County'], California,2017
260,Chateau Latour ,979,Bordeaux Red Blends,0.0,0.0,[' Bordeaux'], France,1995
261,Kapcsandy Family Winery State Lane Cabernet Sauvignon Grand Vin,459,Cabernet Sauvignon,0.0,0.0,[' Napa Valley'], California,2007
262,Altesino Brunello di Montalcino,61,Sangiovese,4.4,69.0,[' Tuscany'], Italy,2015
263,Sinegal Estate Reserve Cabernet Sauvignon,225,Cabernet Sauvignon,4.5,13.0,[' Napa Valley'], California,2016
264,Dunn Howell Mountain Cabernet Sauvignon,159,Cabernet Sauvignon,0.0,0.0,[' Napa Valley'], California,2016
265,John Duval Plexus Red,40,Rhone Red Blends,3.9,13.0,[' South Australia'], Australia,2017
266,Ornellaia Masseto,799,Merlot,0.0,0.0,['Tuscany'], Italy,2005
267,Domaine du Comte Liger-Belair La Romanee Grand Cru,4299,Pinot Noir,0.0,0.0,[' Burgundy'], France,2013
268,Chateau Marsau,24,Bordeaux Red Blends,3.8,68.0,[' Bordeaux'], France,2016
269,Catena Zapata Adrianna Vineyard Fortuna Terrae Malbec,140,Malbec,0.0,0.0,[' Mendoza'], Argentina,2017
270,Chateau Puygueraud,19,Bordeaux Red Blends,3.8,160.0,[' Bordeaux'], France,2016
272,Yalumba Samuel's Collection Eden Valley Viognier,22,Viognier,3.8,150.0,[' South Australia'], Australia,2017
