,product_name,price,varietal,rating,rating_count,appellation,region,year
1739,Bouchard Pere & Fils Echezeaux Grand Cru,360,Pinot Noir,0.0,0.0,['Napa Valley'], California,2017
1741,Chateau Pavie,429,Bordeaux Red Blends,3.9,5.0,[' Napa Valley'], California,2016
1742,Araujo Eisele Vineyard Cabernet Sauvignon ,749,Cabernet Sauvignon,0.0,0.0,['Tuscany'], Italy,2010
1743,Mazzei Fonterutoli Siepi,129,Tuscan Blends,0.0,0.0,[' Sonoma County'], California,2013
1744,Melka Mekerra,209,Bordeaux Red Blends,0.0,0.0,['Napa Valley'], California,2014
1745,Relic Wine Cellars Ritual,69,Rhone Red Blends,0.0,0.0,[' Bordeaux'], France,2015
1746,Chateau d'Yquem Sauternes,559,Other Dessert,0.0,0.0,['Douro'], Portugal,2010
1747,Graham's Vintage Port,149,Port,0.0,0.0,[' Burgundy'], France,2017
1748,Domaine Meo-Camuzet Richebourg Grand Cru,1999,Pinot Noir,0.0,0.0,['Napa Valley'], California,2018
1749,Gandona Winery Cabernet Sauvignon ,419,Cabernet Sauvignon,0.0,0.0,[' Napa Valley'], California,2012
1750,Futo,239,Bordeaux Red Blends,0.0,0.0,[' Burgundy'], France,2011
1751,Pierre Damoy Gevrey-Chambertin Clos Tamisot,289,Pinot Noir,0.0,0.0,[' Bordeaux'], France,2015
1752,Chateau Beychevelle ,229,Bordeaux Red Blends,0.0,0.0,[' Bordeaux'], France,2016
1753,Chateau Marsau ,24,Bordeaux Red Blends,0.0,0.0,[' Burgundy'], France,2019
1754,Maison Roche de Bellene Clos de la Roche Grand Cru,319,Pinot Noir,0.0,0.0,['Napa Valley'], California,2017
1755,Colgin Cariad,429,Bordeaux Red Blends,0.0,0.0,['Napa Valley'], California,2013
1756,Bryant Family Bettina Proprietary Red,499,Bordeaux Red Blends,0.0,0.0,[' Sonoma County'], California,2015
1757,Jeff Cohn Cellars Rockpile Vineyard Syrah Haley,89,Syrah/Shiraz,0.0,0.0,['Sonoma County'], California,2016
1758,Verite La Muse,349,Bordeaux Red Blends,0.0,0.0,['Sonoma County'], California,2015
1759,Calluna Estate Red,89,Bordeaux Red Blends,0.0,0.0,[' Sonoma County'], California,2014
1760,Williams Selyem Olivet Lane Chardonnay,89,Chardonnay,0.0,0.0,['Napa Valley'], California,2015
1761,Raymond Reserve Selection Cabernet Sauvignon,45,Cabernet Sauvignon,4.3,92.0,[' Rhone'], France,2015
1762,Jean-Louis Chave Hermitage ,649,Syrah/Shiraz,0.0,0.0,['Napa Valley'], California,2016
1763,Levy & McClellan Proprietary Red ,999,Other Red Blends,0.0,0.0,[' Bordeaux'], France,2007
1764,Chateau Bellefont Belcier,58,Bordeaux Red Blends,4.4,5.0,['Napa Valley'], California,2016
1765,Continuum ,459,Bordeaux Red Blends,0.0,0.0,[' Napa Valley'], California,2014
1766,Realm Beckstoffer Dr. Crane Cabernet Sauvignon,499,Cabernet Sauvignon,0.0,0.0,[' Central Coast'], California,2013
1767,Saxum Paderewski Vineyard ,299,Other Red Blends,0.0,0.0,['Priorat'], Spain,2013
1768,Clos i Terrasses Clos Erasmus,599,Other Red Blends,0.0,0.0,[' Napa Valley'], California,1998
1769,Carter Cellars Beckstoffer To Kalon Vineyard The G.T.O. ,999,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2016
1770,Domaine Confuron-Cotetidot Gevrey-Chambertin Lavaut Saint-Jacques Premier Cru,189,Pinot Noir,0.0,0.0,['Napa Valley'], California,2016
1771,Realm The Tempest,149,Bordeaux Red Blends,0.0,0.0,[' Central Coast'], California,2017
1772,Talley Rosemary's Vineyard Chardonnay,60,Chardonnay,0.0,0.0,[' Napa Valley'], California,2018
1773,Morlet Passionnement Cabernet Sauvignon,274,Cabernet Sauvignon,0.0,0.0,[' Central Coast'], California,2012
1774,Sine Qua Non Grenache Jusqu'a l'os Eleven Confession Vineyard Grenache ,1399,Grenache,0.0,0.0,[' Burgundy'], France,2013
1775,Domaine Robert Groffier Chambolle-Musigny Les Hauts Doix Premier Cru,375,Pinot Noir,0.0,0.0,[' Central Coast'], California,2017
1776,Sine Qua Non Syrah Le Supplement Eleven Confessions Estate Vineyard ,1399,Syrah/Shiraz,0.0,0.0,[' Bordeaux'], France,2013
1777,Chateau Le Boscq ,32,Bordeaux Red Blends,0.0,0.0,['Napa Valley'], California,2018
1778,Hundred Acre Kayli Morgan Cabernet Sauvignon,599,Cabernet Sauvignon,4.9,7.0,['Piedmont'], Italy,2015
1779,Gaja Darmagi,284,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2012
1780,Domaine Perrot-Minot Charmes-Chambertin Grand Cru Vieilles Vignes,409,Pinot Noir,0.0,0.0,[' Napa Valley'], California,2014
1781,Screaming Eagle Cabernet Sauvignon ,7999,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2017
1782,Albert Bichot Clos de Vougeot Grand Cru Domaine du Clos Frantin,329,Pinot Noir,0.0,0.0,[' Napa Valley'], California,2017
1783,Arkenstone Obsidian,209,Bordeaux Red Blends,0.0,0.0,[' Burgundy'], France,2014
1784,Vincent Girardin Corton Rognet Grand Cru,145,Pinot Noir,0.0,0.0,[' Rhone'], France,2015
1785,Cave de Tain Hermitage Blanc,79,Marsanne,0.0,0.0,['Napa Valley'], California,2015
1786,Anderson's Conn Valley Vineyards Aurum Cabernet Sauvignon,489,Cabernet Sauvignon,0.0,0.0,['Napa Valley'], California,2016
1787,Gandona Winery Cabernet Sauvignon,199,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2012
1788,Louis Jadot Charmes-Chambertin Grand Cru,279,Pinot Noir,5.0,32.0,[' Bordeaux'], France,2017
1789,Chateau Le Boscq ,27,Bordeaux Red Blends,0.0,0.0,[' Napa Valley'], California,2019
1790,Addendum Stagecoach Vineyard Cabernet Sauvignon,110,Cabernet Sauvignon,0.0,0.0,[' Bordeaux'], France,2016
1791,Chateau Margaux Pavillon Rouge ,449,Bordeaux Red Blends,0.0,0.0,[' South Australia'], Australia,2016
1792,Powell & Son Loechel Eden Valley Shiraz,129,Syrah/Shiraz,0.0,0.0,[' Tuscany'], Italy,2016
1793,Antinori Badia a Passignano Chianti Classico Gran Selezione ,149,Sangiovese,0.0,0.0,[' Napa Valley'], California,2015
1794,Grgich Hills Estate Yountville Selection Cabernet Sauvignon,170,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2015
1795,Albert Bichot Beaune Clos des Mouches Premier Cru,139,Pinot Noir,0.0,0.0,[' Columbia Valley'], Washington,2016
1796,No Girls La Placiencia Vineyard Grenache,157,Grenache,0.0,0.0,[' Napa Valley'], California,2012
1797,Hundred Acre Fortification ,439,Port,0.0,0.0,['Napa Valley'], California,2004
1798,St. Supery Dollarhide Sauvignon Blanc,34,Sauvignon Blanc,4.6,14.0,[' Napa Valley'], California,2018
1799,Colgin Tychson Hill Vineyard Cabernet Sauvignon,369,Cabernet Sauvignon,0.0,0.0,[' Napa Valley'], California,2005
1800,Spottswoode Cabernet Sauvignon ,1199,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2017
1801,Domaine du Clos de Tart Morey-St-Denis Premier Cru La Forge de Tart,299,Pinot Noir,0.0,0.0,['Napa Valley'], California,2018
1802,OVID,299,Bordeaux Red Blends,0.0,0.0,[' Burgundy'], France,2007
1803,Louis Latour Chateau Corton Grancey Grand Cru ,440,Pinot Noir,0.0,0.0,[' Tuscany'], Italy,2016
1804,Val di Suga Vigna Spuntali Brunello di Montalcino,119,Sangiovese,0.0,0.0,[' Bordeaux'], France,2013
1805,Chateau Giscours ,159,Bordeaux Red Blends,0.0,0.0,[' Bordeaux'], France,2016
1806,Chateau Montlandrie ,22,Bordeaux Red Blends,0.0,0.0,[' Burgundy'], France,2019
1807,Lucien Le Moine Volnay Clos des Chenes Premier Cru,175,Pinot Noir,0.0,0.0,['Napa Valley'], California,2017
1808,Eisele Vineyard Altagracia Cabernet Sauvignon,139,Cabernet Sauvignon,0.0,0.0,['Napa Valley'], California,2017
1809,M by Michael Mondavi Red Blend,209,Bordeaux Red Blends,0.0,0.0,['Napa Valley'], California,2016
1810,Spottswoode Cabernet Sauvignon ,499,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2017
1811,Domaine Perrot-Minot Morey-St-Denis La Riotte Premier Cru ,390,Pinot Noir,0.0,0.0,[' Burgundy'], France,2014
1812,Hudelot-Noellat Romanee St. Vivant Grand Cru,599,Pinot Noir,0.0,0.0,[' Central Coast'], California,2014
1813,Racines Sanford & Benedict Vineyard Pinot Noir,104,Pinot Noir,0.0,0.0,[' Napa Valley'], California,2017
1814,J. Davies Cabernet Sauvignon,110,Cabernet Sauvignon,4.0,5.0,[' Burgundy'], France,2014
1815,Domaine Faiveley Chambertin-Clos de Beze Les Ouvrees Rodin Grand Cru,999,Pinot Noir,0.0,0.0,[' Bordeaux'], France,2014
1816,Chateau Palmer ,799,Bordeaux Red Blends,0.0,0.0,[' Burgundy'], France,2016
