,product_name,price,varietal,origin,rating,rating_count
19274,Salicutti Brunello di Montalcino Riserva 2004,150,Sangiovese,"Montalcino, Tuscany, Italy",0.0,0
19275,Grgich Hills Estate Chardonnay 1999,33,Chardonnay,"Napa Valley, California",0.0,0
19276,Elderton Ode To Lorraine 2014,56,Other Red Blends,"Barossa Valley, Barossa, South Australia, Australia",0.0,0
19277,Domaine de la Janasse Chateauneuf-du-Pape Vieilles Vignes 2012,121,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",0.0,0
19278,Tenuta delle Terre Nere Etna Rosso Santo Spirito 2017,49,Other Red Blends,"Sicily, Italy",0.0,0
19279,Rudd Oakville Estate Proprietary Red 2003,129,Bordeaux Red Blends,"Oakville, Napa Valley, California",0.0,0
19280,Paradigm Cabernet Sauvignon (1.5 Liter Magnum) 2014,169,Cabernet Sauvignon,"Oakville, Napa Valley, California",0.0,0
19281,Felsina Chianti Classico Riserva Rancia 2010,53,Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy",4.2,5
19282,Catena Zapata Nicasia Vineyard Malbec 2013,129,Malbec,"Mendoza, Argentina",4.1,8
19283,Nickel & Nickel State Ranch Cabernet Sauvignon (3 Liter) 2016,549,Cabernet Sauvignon,"Yountville, Napa Valley, California",0.0,0
19284,Chateau Gazin 2014,64,Bordeaux Red Blends,"Pomerol, Bordeaux, France",0.0,0
19285,Domaine Marc Morey Chevalier-Montrachet Grand Cru 2009,329,Chardonnay,"Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",0.0,0
19286,Larkmead Cabernet Sauvignon 2009,149,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19287,Epoch Veracity Red Blend 2015,165,Rhone Red Blends,"Paso Robles, Central Coast, California",0.0,0
19288,Chateau Lafite Rothschild (1.5 Liter Magnum) 1998,"2,099",Bordeaux Red Blends,"Pauillac, Bordeaux, France",0.0,0
19289,Alto Moncayo Aquilon 2014,144,Grenache,Spain,0.0,0
19290,Domaine Olivier Hillaire Chateauneuf-du-Pape les Petits Pieds d'Armand 2010,95,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",0.0,0
