,product_name,price,varietal,origin,rating,rating_count
0,Dom Perignon Vintage with Gift Box 2010,199,Vintage Sparkling Wine,"Champagne, France",4.5,42
1,Veuve Clicquot Yellow Label Brut,59,Non-Vintage Sparkling Wine,"Champagne, France",4.4,1138
2,Duckhorn Napa Valley Cabernet Sauvignon 2017,78,Cabernet Sauvignon,"Napa Valley, California",4.3,62
3,Caymus Special Selection Cabernet Sauvignon 2016,180,Cabernet Sauvignon,"Napa Valley, California",4.6,108
4,Quintessa 2016,199,Cabernet Sauvignon,"Rutherford, Napa Valley, California",4.7,73
5,Joseph Phelps Insignia 2016,300,Bordeaux Red Blends,"Napa Valley, California",4.6,81
6,Opus One 2017,364,Bordeaux Red Blends,"Oakville, Napa Valley, California",4.2,8
7,Trefethen Cabernet Sauvignon 2017,65,Cabernet Sauvignon,"Oak Knoll District, Napa Valley, California",4.3,65
8,Dom Perignon Vintage 2010,189,Vintage Sparkling Wine,"Champagne, France",4.8,10
9,Antinori Tignanello 2017,129,Tuscan Blends,"Tuscany, Italy",4.9,45
10,Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon 2016,175,Cabernet Sauvignon,"Oakville, Napa Valley, California",4.2,50
11,Bollinger Brut Special Cuvee,79,Non-Vintage Sparkling Wine,"Champagne, France",4.3,394
12,Mazzei Chianti Classico Riserva Ser Lapo 2016,37,Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy",4.0,672
13,Veuve Clicquot La Grande Dame with Gift Box 2008,189,Vintage Sparkling Wine,"Champagne, France",4.6,31
14,Ulysses Cabernet Sauvignon 2016,219,Cabernet Sauvignon,"Napa Valley, California",0.0,0
15,Stags' Leap Winery The Leap Estate Grown Cabernet Sauvignon 2016,110,Cabernet Sauvignon,"Stags Leap District, Napa Valley, California",4.4,34
16,Beringer Private Reserve Cabernet Sauvignon 2015,170,Cabernet Sauvignon,"Napa Valley, California",4.5,41
17,Laurent-Perrier Cuvee Rose,100,Rosé Sparkling Wine,"Champagne, France",4.6,306
18,The Prisoner Wine Company Cuttings 2017,55,Cabernet Sauvignon,"Napa Valley, California",4.4,308
19,Dominus Estate 2016,299,Bordeaux Red Blends,"Yountville, Napa Valley, California",4.4,77
20,Bella Union by Far Niente Cabernet Sauvignon 2017,80,Cabernet Sauvignon,"Napa Valley, California",4.3,156
21,Taittinger Comtes de Champagne Blanc de Blancs 2008,209,Vintage Sparkling Wine,"Champagne, France",0.0,0
22,Shafer Hillside Select Cabernet Sauvignon 2015,310,Cabernet Sauvignon,"Stags Leap District, Napa Valley, California",4.7,23
23,Chateau Pontet-Canet 2016,169,Bordeaux Red Blends,"Pauillac, Bordeaux, France",4.3,32
24,Louis Roederer Cristal Brut with Gift Box 2012,289,Vintage Sparkling Wine,"Champagne, France",4.9,16
25,Cristom Mt. Jefferson Cuvee Pinot Noir 2018,32,Pinot Noir,"Eola-Amity Hills, Willamette Valley, Oregon",4.1,97
26,Argiano Brunello di Montalcino 2015,75,Sangiovese,"Montalcino, Tuscany, Italy",4.3,169
27,G.D. Vajra Barolo Albe 2016,40,Nebbiolo,"Barolo, Piedmont, Italy",4.1,49
28,Heitz Cellar Napa Valley Cabernet Sauvignon 2015,57,Cabernet Sauvignon,"Napa Valley, California",4.1,64
29,Trefethen Estate Chardonnay 2018,38,Chardonnay,"Oak Knoll District, Napa Valley, California",4.0,82
30,Hall Coeur Cabernet Sauvignon 2016,70,Cabernet Sauvignon,"St. Helena, Napa Valley, California",4.4,26
31,Freemark Abbey Napa Valley Cabernet Sauvignon 2016,60,Cabernet Sauvignon,"Napa Valley, California",4.2,188
32,Domaine de la Janasse Chateauneuf-du-Pape Vieilles Vignes 2017,118,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",4.0,14
33,Austin Hope Cabernet Sauvignon 2018,54,Cabernet Sauvignon,"Paso Robles, Central Coast, California",4.5,206
34,Produttori del Barbaresco Barbaresco 2016,44,Nebbiolo,"Barbaresco, Piedmont, Italy",4.3,238
35,Castellani Sangiovese 2016,14,Sangiovese,"Tuscany, Italy",4.0,169
36,Mayacamas Cabernet Sauvignon 2014,124,Cabernet Sauvignon,"Mt. Veeder, Napa Valley, California",4.1,67
37,Louis Roederer Brut Premier,54,Non-Vintage Sparkling Wine,"Champagne, France",4.3,169
38,Chateau Rauzan-Segla 2010,159,Bordeaux Red Blends,"Margaux, Bordeaux, France",4.5,13
39,Parducci True Grit Reserve Petite Sirah 2018,30,Petite Sirah,"Mendocino, California",4.1,33
40,Far Niente Napa Valley Cabernet Sauvignon 2018,150,Cabernet Sauvignon,"Napa Valley, California",0.0,0
41,Martin Ray Sonoma Coast Pinot Noir 2018,28,Pinot Noir,"Sonoma Coast, Sonoma County, California",3.8,663
42,Louis Latour Chateau Corton Grancey Grand Cru 2016,200,Pinot Noir,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",0.0,0
43,Pio Cesare Barolo 2016,82,Nebbiolo,"Barolo, Piedmont, Italy",0.0,0
44,La Rasina Brunello di Montalcino 2015,58,Sangiovese,"Montalcino, Tuscany, Italy",4.5,41
45,Clarendon Hills Astralis Syrah 2011,200,Syrah/Shiraz,"McLaren Vale, South Australia, Australia",4.2,33
46,El Enemigo Chardonnay 2018,24,Chardonnay,"Mendoza, Argentina",4.1,52
47,Chateau Pontet-Canet 2010,289,Bordeaux Red Blends,"Pauillac, Bordeaux, France",4.4,51
48,Faust Cabernet Sauvignon 2018,55,Cabernet Sauvignon,"Napa Valley, California",3.9,7
49,Opus One 2007,449,Bordeaux Red Blends,"Oakville, Napa Valley, California",4.7,16
50,Dom Perignon Vintage with Gift Box 2010,199,Vintage Sparkling Wine,"Champagne, France",4.5,42
51,Veuve Clicquot Yellow Label Brut,59,Non-Vintage Sparkling Wine,"Champagne, France",4.4,1138
52,Duckhorn Napa Valley Cabernet Sauvignon 2017,78,Cabernet Sauvignon,"Napa Valley, California",4.3,62
53,Caymus Special Selection Cabernet Sauvignon 2016,180,Cabernet Sauvignon,"Napa Valley, California",4.6,108
54,Quintessa 2016,199,Cabernet Sauvignon,"Rutherford, Napa Valley, California",4.7,73
55,Joseph Phelps Insignia 2016,300,Bordeaux Red Blends,"Napa Valley, California",4.6,81
56,Opus One 2017,364,Bordeaux Red Blends,"Oakville, Napa Valley, California",4.2,8
57,Trefethen Cabernet Sauvignon 2017,65,Cabernet Sauvignon,"Oak Knoll District, Napa Valley, California",4.3,65
58,Dom Perignon Vintage 2010,189,Vintage Sparkling Wine,"Champagne, France",4.8,10
59,Antinori Tignanello 2017,129,Tuscan Blends,"Tuscany, Italy",4.9,45
60,Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon 2016,175,Cabernet Sauvignon,"Oakville, Napa Valley, California",4.2,50
61,Bollinger Brut Special Cuvee,79,Non-Vintage Sparkling Wine,"Champagne, France",4.3,394
62,Mazzei Chianti Classico Riserva Ser Lapo 2016,37,Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy",4.0,672
63,Veuve Clicquot La Grande Dame with Gift Box 2008,189,Vintage Sparkling Wine,"Champagne, France",4.6,31
64,Ulysses Cabernet Sauvignon 2016,219,Cabernet Sauvignon,"Napa Valley, California",0.0,0
65,Stags' Leap Winery The Leap Estate Grown Cabernet Sauvignon 2016,110,Cabernet Sauvignon,"Stags Leap District, Napa Valley, California",4.4,34
66,Beringer Private Reserve Cabernet Sauvignon 2015,170,Cabernet Sauvignon,"Napa Valley, California",4.5,41
67,Laurent-Perrier Cuvee Rose,100,Rosé Sparkling Wine,"Champagne, France",4.6,306
68,The Prisoner Wine Company Cuttings 2017,55,Cabernet Sauvignon,"Napa Valley, California",4.4,308
69,Dominus Estate 2016,299,Bordeaux Red Blends,"Yountville, Napa Valley, California",4.4,77
70,Bella Union by Far Niente Cabernet Sauvignon 2017,80,Cabernet Sauvignon,"Napa Valley, California",4.3,156
71,Taittinger Comtes de Champagne Blanc de Blancs 2008,209,Vintage Sparkling Wine,"Champagne, France",0.0,0
72,Shafer Hillside Select Cabernet Sauvignon 2015,310,Cabernet Sauvignon,"Stags Leap District, Napa Valley, California",4.7,23
73,Chateau Pontet-Canet 2016,169,Bordeaux Red Blends,"Pauillac, Bordeaux, France",4.3,32
74,Louis Roederer Cristal Brut with Gift Box 2012,289,Vintage Sparkling Wine,"Champagne, France",4.9,16
75,Cristom Mt. Jefferson Cuvee Pinot Noir 2018,32,Pinot Noir,"Eola-Amity Hills, Willamette Valley, Oregon",4.1,97
76,Argiano Brunello di Montalcino 2015,75,Sangiovese,"Montalcino, Tuscany, Italy",4.3,169
77,G.D. Vajra Barolo Albe 2016,40,Nebbiolo,"Barolo, Piedmont, Italy",4.1,49
78,Heitz Cellar Napa Valley Cabernet Sauvignon 2015,57,Cabernet Sauvignon,"Napa Valley, California",4.1,64
79,Trefethen Estate Chardonnay 2018,38,Chardonnay,"Oak Knoll District, Napa Valley, California",4.0,82
80,Hall Coeur Cabernet Sauvignon 2016,70,Cabernet Sauvignon,"St. Helena, Napa Valley, California",4.4,26
81,Freemark Abbey Napa Valley Cabernet Sauvignon 2016,60,Cabernet Sauvignon,"Napa Valley, California",4.2,188
82,Domaine de la Janasse Chateauneuf-du-Pape Vieilles Vignes 2017,118,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",4.0,14
83,Austin Hope Cabernet Sauvignon 2018,54,Cabernet Sauvignon,"Paso Robles, Central Coast, California",4.5,206
84,Produttori del Barbaresco Barbaresco 2016,44,Nebbiolo,"Barbaresco, Piedmont, Italy",4.3,238
85,Castellani Sangiovese 2016,14,Sangiovese,"Tuscany, Italy",4.0,169
86,Mayacamas Cabernet Sauvignon 2014,124,Cabernet Sauvignon,"Mt. Veeder, Napa Valley, California",4.1,67
87,Louis Roederer Brut Premier,54,Non-Vintage Sparkling Wine,"Champagne, France",4.3,169
88,Chateau Rauzan-Segla 2010,159,Bordeaux Red Blends,"Margaux, Bordeaux, France",4.5,13
89,Parducci True Grit Reserve Petite Sirah 2018,30,Petite Sirah,"Mendocino, California",4.1,33
90,Far Niente Napa Valley Cabernet Sauvignon 2018,150,Cabernet Sauvignon,"Napa Valley, California",0.0,0
91,Martin Ray Sonoma Coast Pinot Noir 2018,28,Pinot Noir,"Sonoma Coast, Sonoma County, California",3.8,663
92,Louis Latour Chateau Corton Grancey Grand Cru 2016,200,Pinot Noir,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",0.0,0
93,Pio Cesare Barolo 2016,82,Nebbiolo,"Barolo, Piedmont, Italy",0.0,0
94,La Rasina Brunello di Montalcino 2015,58,Sangiovese,"Montalcino, Tuscany, Italy",4.5,41
95,Clarendon Hills Astralis Syrah 2011,200,Syrah/Shiraz,"McLaren Vale, South Australia, Australia",4.2,33
96,El Enemigo Chardonnay 2018,24,Chardonnay,"Mendoza, Argentina",4.1,52
97,Chateau Pontet-Canet 2010,289,Bordeaux Red Blends,"Pauillac, Bordeaux, France",4.4,51
98,Faust Cabernet Sauvignon 2018,55,Cabernet Sauvignon,"Napa Valley, California",3.9,7
99,Opus One 2007,449,Bordeaux Red Blends,"Oakville, Napa Valley, California",4.7,16
100,Dom Perignon Vintage with Gift Box 2010,199,Vintage Sparkling Wine,"Champagne, France",4.5,42
101,Veuve Clicquot Yellow Label Brut,59,Non-Vintage Sparkling Wine,"Champagne, France",4.4,1138
102,Duckhorn Napa Valley Cabernet Sauvignon 2017,78,Cabernet Sauvignon,"Napa Valley, California",4.3,62
103,Caymus Special Selection Cabernet Sauvignon 2016,180,Cabernet Sauvignon,"Napa Valley, California",4.6,108
104,Quintessa 2016,199,Cabernet Sauvignon,"Rutherford, Napa Valley, California",4.7,73
105,Joseph Phelps Insignia 2016,300,Bordeaux Red Blends,"Napa Valley, California",4.6,81
106,Opus One 2017,364,Bordeaux Red Blends,"Oakville, Napa Valley, California",4.2,8
107,Trefethen Cabernet Sauvignon 2017,65,Cabernet Sauvignon,"Oak Knoll District, Napa Valley, California",4.3,65
108,Dom Perignon Vintage 2010,189,Vintage Sparkling Wine,"Champagne, France",4.8,10
109,Antinori Tignanello 2017,129,Tuscan Blends,"Tuscany, Italy",4.9,45
110,Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon 2016,175,Cabernet Sauvignon,"Oakville, Napa Valley, California",4.2,50
111,Bollinger Brut Special Cuvee,79,Non-Vintage Sparkling Wine,"Champagne, France",4.3,394
112,Mazzei Chianti Classico Riserva Ser Lapo 2016,37,Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy",4.0,672
113,Veuve Clicquot La Grande Dame with Gift Box 2008,189,Vintage Sparkling Wine,"Champagne, France",4.6,31
114,Ulysses Cabernet Sauvignon 2016,219,Cabernet Sauvignon,"Napa Valley, California",0.0,0
115,Stags' Leap Winery The Leap Estate Grown Cabernet Sauvignon 2016,110,Cabernet Sauvignon,"Stags Leap District, Napa Valley, California",4.4,34
116,Beringer Private Reserve Cabernet Sauvignon 2015,170,Cabernet Sauvignon,"Napa Valley, California",4.5,41
117,Laurent-Perrier Cuvee Rose,100,Rosé Sparkling Wine,"Champagne, France",4.6,306
118,The Prisoner Wine Company Cuttings 2017,55,Cabernet Sauvignon,"Napa Valley, California",4.4,308
119,Dominus Estate 2016,299,Bordeaux Red Blends,"Yountville, Napa Valley, California",4.4,77
120,Bella Union by Far Niente Cabernet Sauvignon 2017,80,Cabernet Sauvignon,"Napa Valley, California",4.3,156
121,Taittinger Comtes de Champagne Blanc de Blancs 2008,209,Vintage Sparkling Wine,"Champagne, France",0.0,0
122,Shafer Hillside Select Cabernet Sauvignon 2015,310,Cabernet Sauvignon,"Stags Leap District, Napa Valley, California",4.7,23
123,Chateau Pontet-Canet 2016,169,Bordeaux Red Blends,"Pauillac, Bordeaux, France",4.3,32
124,Louis Roederer Cristal Brut with Gift Box 2012,289,Vintage Sparkling Wine,"Champagne, France",4.9,16
125,Cristom Mt. Jefferson Cuvee Pinot Noir 2018,32,Pinot Noir,"Eola-Amity Hills, Willamette Valley, Oregon",4.1,97
126,Argiano Brunello di Montalcino 2015,75,Sangiovese,"Montalcino, Tuscany, Italy",4.3,169
127,G.D. Vajra Barolo Albe 2016,40,Nebbiolo,"Barolo, Piedmont, Italy",4.1,49
128,Heitz Cellar Napa Valley Cabernet Sauvignon 2015,57,Cabernet Sauvignon,"Napa Valley, California",4.1,64
129,Trefethen Estate Chardonnay 2018,38,Chardonnay,"Oak Knoll District, Napa Valley, California",4.0,82
130,Hall Coeur Cabernet Sauvignon 2016,70,Cabernet Sauvignon,"St. Helena, Napa Valley, California",4.4,26
131,Freemark Abbey Napa Valley Cabernet Sauvignon 2016,60,Cabernet Sauvignon,"Napa Valley, California",4.2,188
132,Domaine de la Janasse Chateauneuf-du-Pape Vieilles Vignes 2017,118,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",4.0,14
133,Austin Hope Cabernet Sauvignon 2018,54,Cabernet Sauvignon,"Paso Robles, Central Coast, California",4.5,206
134,Produttori del Barbaresco Barbaresco 2016,44,Nebbiolo,"Barbaresco, Piedmont, Italy",4.3,238
135,Castellani Sangiovese 2016,14,Sangiovese,"Tuscany, Italy",4.0,169
136,Mayacamas Cabernet Sauvignon 2014,124,Cabernet Sauvignon,"Mt. Veeder, Napa Valley, California",4.1,67
137,Louis Roederer Brut Premier,54,Non-Vintage Sparkling Wine,"Champagne, France",4.3,169
138,Chateau Rauzan-Segla 2010,159,Bordeaux Red Blends,"Margaux, Bordeaux, France",4.5,13
139,Parducci True Grit Reserve Petite Sirah 2018,30,Petite Sirah,"Mendocino, California",4.1,33
140,Far Niente Napa Valley Cabernet Sauvignon 2018,150,Cabernet Sauvignon,"Napa Valley, California",0.0,0
141,Martin Ray Sonoma Coast Pinot Noir 2018,28,Pinot Noir,"Sonoma Coast, Sonoma County, California",3.8,663
142,Louis Latour Chateau Corton Grancey Grand Cru 2016,200,Pinot Noir,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",0.0,0
143,Pio Cesare Barolo 2016,82,Nebbiolo,"Barolo, Piedmont, Italy",0.0,0
144,La Rasina Brunello di Montalcino 2015,58,Sangiovese,"Montalcino, Tuscany, Italy",4.5,41
145,Clarendon Hills Astralis Syrah 2011,200,Syrah/Shiraz,"McLaren Vale, South Australia, Australia",4.2,33
146,El Enemigo Chardonnay 2018,24,Chardonnay,"Mendoza, Argentina",4.1,52
147,Chateau Pontet-Canet 2010,289,Bordeaux Red Blends,"Pauillac, Bordeaux, France",4.4,51
148,Faust Cabernet Sauvignon 2018,55,Cabernet Sauvignon,"Napa Valley, California",3.9,7
149,Opus One 2007,449,Bordeaux Red Blends,"Oakville, Napa Valley, California",4.7,16
150,Beringer Private Reserve Chardonnay 2018,48,Chardonnay,"Napa Valley, California",4.3,72
151,Paco & Lola Albarino 2019,19,Albarino,"Rias Baixas, Spain",4.2,77
152,Merry Edwards Sauvignon Blanc 2018,48,Sauvignon Blanc,"Russian River, Sonoma County, California",4.5,68
153,Castello di Monsanto Chianti Classico Riserva 2016,30,Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy",4.2,427
154,Beaulieu Vineyard Georges de Latour Private Reserve 2016,150,Cabernet Sauvignon,"Napa Valley, California",4.6,31
155,Screaming Eagle Cabernet Sauvignon 2002,"3,199",Cabernet Sauvignon,"Oakville, Napa Valley, California",0.0,0
156,Opus One 2012,449,Bordeaux Red Blends,"Oakville, Napa Valley, California",4.6,39
157,Chateau Castera 2015,29,Bordeaux Red Blends,"Medoc, Bordeaux, France",3.8,211
158,St. Supery Sauvignon Blanc 2018,22,Sauvignon Blanc,"Napa Valley, California",4.0,614
159,Domaine Drouhin Oregon Pinot Noir 2017,43,Pinot Noir,"Dundee Hills, Willamette Valley, Oregon",4.2,11
160,Frog's Leap Estate Grown Cabernet Sauvignon 2017,65,Cabernet Sauvignon,"Rutherford, Napa Valley, California",4.3,44
161,Quilceda Creek Cabernet Sauvignon 2017,200,Cabernet Sauvignon,"Columbia Valley, Washington",0.0,0
162,Domaine de la Janasse Chateauneuf-du-Pape Cuvee Chaupin 2017,86,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",4.0,17
163,Dominus Estate 2017,209,Bordeaux Red Blends,"Yountville, Napa Valley, California",4.4,20
164,Chateau Montelena Napa Valley Chardonnay 2017,58,Chardonnay,"Napa Valley, California",4.4,106
165,Chateau Montrose 2009,359,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",4.6,9
166,Hartford Court Russian River Chardonnay 2018,30,Chardonnay,"Russian River, Sonoma County, California",4.2,213
167,Penfolds Bin 389 Cabernet-Shiraz 2018,80,Other Red Blends,"South Australia, Australia",4.4,11
168,San Simeon Stormwatch Estate Reserve Red 2015,80,Bordeaux Red Blends,"Paso Robles, Central Coast, California",4.3,51
169,Brewer-Clifton Sta. Rita Hills Chardonnay 2017,36,Chardonnay,"Sta. Rita Hills, Santa Barbara, Central Coast, California",4.3,43
170,Belle Glos Clark and Telephone Vineyard Pinot Noir 2018,55,Pinot Noir,"Santa Maria Valley, Central Coast, California",4.4,139
171,La Rioja Alta Vina Ardanza Reserva 2012,37,Tempranillo,"Rioja, Spain",4.6,53
172,Nino Franco Rustico Prosecco Superiore,19,Non-Vintage Sparkling Wine,"Valdobbiadene, Prosecco, Italy",4.1,611
173,Allegrini Amarone 2015,93,Other Red Blends,"Veneto, Italy",4.4,27
174,Penfolds Kalimna Bin 28 Shiraz 2018,29,Syrah/Shiraz,"Barossa Valley, Barossa, South Australia, Australia",3.9,17
175,Shafer TD-9 2017,65,Bordeaux Red Blends,"Napa Valley, California",4.6,34
176,Leonetti Cabernet Sauvignon 2017,124,Cabernet Sauvignon,"Walla Walla Valley, Columbia Valley, Washington",0.0,0
177,Bibi Graetz Testamatta 2016,89,Sangiovese,"Tuscany, Italy",4.7,14
178,Fuligni Brunello di Montalcino 2015,109,Sangiovese,"Montalcino, Tuscany, Italy",4.6,16
179,Domaine Drouhin Oregon Laurene Pinot Noir 2017,71,Pinot Noir,"Dundee Hills, Willamette Valley, Oregon",0.0,0
180,Armand de Brignac Ace of Spades Brut Gold with Gift Box,299,Non-Vintage Sparkling Wine,"Champagne, France",4.4,197
181,Zuccardi Concreto Malbec 2019,40,Malbec,"Uco Valley, Mendoza, Argentina",0.0,0
182,Groth Reserve Cabernet Sauvignon 2016,150,Cabernet Sauvignon,"Oakville, Napa Valley, California",4.8,27
183,Tenuta San Guido Sassicaia 2015,279,Bordeaux Red Blends,"Bolgheri, Tuscany, Italy",4.8,84
184,Kapcsandy Family Winery State Lane Cabernet Sauvignon Grand Vin 2016,499,Cabernet Sauvignon,"Yountville, Napa Valley, California",0.0,0
185,Viticcio Chianti Classico Riserva 2015,30,Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy",4.0,292
186,Billecart-Salmon Cuvee Nicolas Francois Brut 2006,170,Vintage Sparkling Wine,"Champagne, France",0.0,0
187,Screaming Eagle Cabernet Sauvignon 2007,"3,699",Cabernet Sauvignon,"Oakville, Napa Valley, California",4.2,16
188,Chateau La Nerthe Chateauneuf-du-Pape Rouge 2016,59,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",4.6,129
189,Hall Ellie's Cabernet Sauvignon 2016,85,Cabernet Sauvignon,"Napa Valley, California",4.2,10
190,Shafer Red Shoulder Ranch Chardonnay 2018,52,Chardonnay,"Carneros, California",4.5,15
191,Spottswoode Cabernet Sauvignon 2017,229,Cabernet Sauvignon,"St. Helena, Napa Valley, California",4.7,6
192,Catena Alta Malbec 2016,60,Malbec,"Mendoza, Argentina",4.2,77
193,Hess Collection Mount Veeder Cabernet Sauvignon 2013,70,Cabernet Sauvignon,"Mt. Veeder, Napa Valley, California",4.3,75
194,Harlan Estate 2011,899,Bordeaux Red Blends,"Oakville, Napa Valley, California",4.5,6
195,Mt. Brave Cabernet Sauvignon 2016,100,Cabernet Sauvignon,"Mt. Veeder, Napa Valley, California",4.3,15
196,Krug Grande Cuvee Brut (168th Edition) with Gift Box,199,Non-Vintage Sparkling Wine,"Champagne, France",4.6,14
197,Quintessa 2015,199,Cabernet Sauvignon,"Rutherford, Napa Valley, California",4.7,64
198,Hartford Court Russian River Pinot Noir (375ML half-bottle) 2017,18,Pinot Noir,"Russian River, Sonoma County, California",4.4,25
199,Larkmead Cabernet Sauvignon 2016,135,Cabernet Sauvignon,"Napa Valley, California",4.3,16
200,Joseph Phelps Insignia 2017,300,Bordeaux Red Blends,"Napa Valley, California",4.8,6
201,Tenuta Luce Brunello di Montalcino 2015,144,Sangiovese,"Montalcino, Tuscany, Italy",3.3,7
202,Nickel & Nickel C.C. Ranch Cabernet Sauvignon 2018,125,Cabernet Sauvignon,"Rutherford, Napa Valley, California",0.0,0
203,Castello di Querceto Liocorno Chianti Classico Riserva 2015,18,Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy",3.7,103
204,Ridge Lytton Springs 2018,44,Other Red Blends,"Dry Creek Valley, Sonoma County, California",4.5,6
205,Taylor Fladgate Vintage Port 2016,149,Port,"Douro, Portugal",4.6,38
206,Castello Romitorio Brunello di Montalcino 2015,70,Sangiovese,"Montalcino, Tuscany, Italy",4.3,17
207,Veuve Clicquot Vintage Brut 2012,89,Vintage Sparkling Wine,"Champagne, France",4.8,25
208,Philippe Colin Chassagne-Montrachet Les Chaumees Clos St Abdon Premier Cru 2017,110,Chardonnay,"Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",5.0,5
209,Montes Alpha Series Syrah 2017,19,Syrah/Shiraz,"Colchagua Valley, Rapel Valley, Chile",4.1,206
210,Nickel & Nickel State Ranch Cabernet Sauvignon 2018,125,Cabernet Sauvignon,"Yountville, Napa Valley, California",0.0,0
211,La Vizcaina Las Gundinas Tinto 2018,41,Other Red Blends,"Bierzo, Spain",0.0,0
212,Jacquart Brut Mosaique,37,Non-Vintage Sparkling Wine,"Champagne, France",4.4,42
213,Antinori Castello della Sala Cervaro 2018,59,Chardonnay,"Umbria, Italy",4.7,33
214,Hall Kathryn Hall Cabernet Sauvignon 2016,179,Cabernet Sauvignon,"Napa Valley, California",4.6,47
215,Durigutti Cabernet Sauvignon 2018,16,Cabernet Sauvignon,"Mendoza, Argentina",3.7,87
216,Querciabella Chianti Classico 2016,33,Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy",4.0,56
217,Drappier Grande Sendree Brut 2009,120,Vintage Sparkling Wine,"Champagne, France",0.0,0
218,Flowers Sonoma Coast Chardonnay 2017,50,Chardonnay,"Sonoma Coast, Sonoma County, California",4.4,58
219,Aperture Alexander Valley Red Blend 2018,54,Bordeaux Red Blends,"Alexander Valley, Sonoma County, California",0.0,0
220,Roederer Estate L'Ermitage 2013,54,Vintage Sparkling Wine,"Anderson Valley, Mendocino, California",4.5,33
221,Chateau de Vaudieu Val de Dieu Chateauneuf-du-Pape 2017,90,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",0.0,0
222,Castiglion del Bosco Brunello di Montalcino 2015,70,Sangiovese,"Montalcino, Tuscany, Italy",4.3,157
223,Paul Lato Magic Moments Hyde Vineyard Pinot Noir 2018,94,Pinot Noir,"Carneros, California",0.0,0
224,DAOU Vineyards Soul of a Lion 2017,159,Bordeaux Red Blends,"Adelaida District, Paso Robles, Central Coast, California",4.8,19
225,Domaines Ott Chateau de Selle Cotes de Provence Rose 2019,55,Rosé,"Cotes de Provence, Provence, South of France, France",4.8,17
226,Domaine Serene Evenstad Reserve Pinot Noir 2017,78,Pinot Noir,"Willamette Valley, Oregon",5.0,5
227,Louis Roederer Brut Vintage with Gift Box 2012,79,Vintage Sparkling Wine,"Champagne, France",0.0,0
228,Silverado Cabernet Sauvignon 2016,53,Cabernet Sauvignon,"Napa Valley, California",4.1,136
229,Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon 2017,149,Cabernet Sauvignon,"Stags Leap District, Napa Valley, California",0.0,0
230,Vietti Barolo Castiglione 2016,54,Nebbiolo,"Barolo, Piedmont, Italy",4.3,25
231,Mayacamas Chardonnay 2018,49,Chardonnay,"Mt. Veeder, Napa Valley, California",0.0,0
232,Vie di Romans Dessimis Pinot Grigio 2018,34,Pinot Gris/Grigio,"Friuli-Venezia Giulia, Italy",0.0,0
233,Hundred Acre Kayli Morgan Cabernet Sauvignon 2006,529,Cabernet Sauvignon,"Napa Valley, California",5.0,5
234,Penfolds RWT Shiraz 2016,159,Syrah/Shiraz,"Barossa Valley, Barossa, South Australia, Australia",4.6,25
235,Tenuta Luce 2016,135,Tuscan Blends,"Tuscany, Italy",4.5,31
236,Belle Glos Las Alturas Vineyard Pinot Noir 2018,55,Pinot Noir,"Santa Lucia Highlands, Monterey, Central Coast, California",4.6,61
237,Chateau Leoville Poyferre 2009,299,Bordeaux Red Blends,"St-Julien, Bordeaux, France",4.0,15
238,Kosta Browne Russian River Pinot Noir (375ML half-bottle) 2018,49,Pinot Noir,"Russian River, Sonoma County, California",4.7,5
239,Paul Lato Victor Francis Peake Ranch Vineyard Pinot Noir 2018,74,Pinot Noir,"Sta. Rita Hills, Santa Barbara, Central Coast, California",0.0,0
240,K Vintners The Hidden Syrah 2017,69,Syrah/Shiraz,"Wahluke Slope, Columbia Valley, Washington",0.0,0
241,Chateau Smith Haut Lafitte 2016,124,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",4.4,35
242,Groth Cabernet Sauvignon 2016,65,Cabernet Sauvignon,"Oakville, Napa Valley, California",4.1,25
243,Chateau de Vaudieu Chateauneuf-du-Pape 2017,55,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",4.1,16
244,Chateau Montelena Estate Cabernet Sauvignon 2016,175,Cabernet Sauvignon,"Calistoga, Napa Valley, California",4.9,13
