bottled_wine_gallons_by_state,still_wines_bottled,still_wines_taxable_withdrawals_not_over_14_alcohol,still_wines_taxable_withdrawals_over_14_alcohol,still_wines_taxable_withdrawals_cider,still_wines_stocks_end_of_month_not_over_14_alcohol,still_wines_stocks_end_of_month_over_14_alcohol,still_wines_stocks_end_of_month_cider,effervescent_wines_bottled,effervescent_wines_taxable_withdrawals_artificially_carbonated_wines,effervescent_wines_taxable_withdrawals_naturally_carbonated_wines,effervescent_wines_stocks_end_of_month
ALABAMA,32138,8915127,170072,0,,,,240,24898,567292,
ARIZONA,120489,114291,40470,156,,,,538,842,0,
ARKANSAS,367420,271322,47008,0,,,,2423,1416,0,
CALIFORNIA,545880684,343541636,43995735,2677751,,,,25262406,554816,15313818,
COLORADO,415635,205667,70895,92871,,,,972,0,349,
CONNECTICUT,145883,136864,9116,3011,,,,2295,2795,118,
FLORIDA,1226374,15225593,621298,336977,,,,4058,14365,829304,
GEORGIA,166445,152613,11261,114969,,,,2378,0,1478,
IDAHO,489032,250823,36634,0,,,,0,2,572,
ILLINOIS,1204065,20404156,566536,1309,,,,11249,41060,1045530,
INDIANA,1649035,1634736,23864,7963,,,,2290,3953,1341,
IOWA,268496,246055,2548,757,,,,4154,4029,233,
KANSAS,65962,9725918,245485,0,,,,16,47780,652029,
KENTUCKY,211639,148480,52146,0,,,,316,0,107,
LOUISIANA,201262,186939,0,0,,,,0,0,0,
MAINE,52609,31239,5690,8206,,,,1708,1525,464,
MARYLAND,361396,300170,39330,28,,,,496,0,414,
MASSACHUSETTS,487427,95478,6632,368051,,,,5235,313,3367,
MICHIGAN,2236476,1806571,14358,244751,,,,78392,12259,58053,
MINNESOTA,212377,172028,6826,13641,,,,1921,2637,416,
MISSOURI,1224650,1075587,20672,38974,,,,27626,13654,9635,
MONTANA,31539,31984,2094,512,,,,0,0,0,
NEBRASKA,91948,83848,1573,0,,,,781,803,147,
NEW HAMPSHIRE,99446,78547,3333,1682,,,,288,0,0,
NEW JERSEY,1187932,1344152,21770,174,,,,23863,1191,32054,
NEW MEXICO,382218,349231,8569,2010,,,,377223,8667,338752,
NEW YORK,38319972,21826866,5727528,6447388,,,,2092472,19771,1830660,
NORTH CAROLINA,1605837,1465729,62581,7044,,,,9954,372,10613,
OHIO,7500239,1383776,33080,,,,,97980,28064,3856,
OKLAHOMA,58764,52006,729,277,,,,44,0,51,
OREGON,9052108,6218061,694407,557873,,,,82274,6179,45067,
PENNSYLVANIA,29218025,32946363,792895,,,,,12832,157386,1749687,
SOUTH CAROLINA,26083,24600,0,0,,,,0,0,0,
SOUTH DAKOTA,107809,92850,4386,0,,,,0,0,0,
TENNESSEE,4250536,377037,20349,3368776,,,,5847,5252,479,
TEXAS,2413106,12224729,481649,42073,,,,2051,46033,1119585,
VERMONT,7350928,1620088,769,5664007,,,,97968,640,1312,
VIRGINIA,1784253,1016168,44403,565342,,,,15867,0,17965,
WASHINGTON,29877747,21852489,2286936,418292,,,,437402,1536,419671,
WEST VIRGINIA,25650,22543,2155,0,,,,0,0,0,
WISCONSIN,1194769,642825,28753,528026,,,,2521,1960,4547,
Others,268143,207593,19545,32057296,,,,5703,117,5704,
Total,691866546,508502778,56224080,53570187,,,,28673783,1004315,24064670,
