bulk_wine_gallons_by_state,still_wines_production,still_wines_taxable_withdrawals_not_over_14_alcohol,still_wines_taxable_withdrawals_over_14_alcohol,still_wines_taxable_withdrawals_3_cider,still_wines_stocks_end_of_month_not_over_14_alcohol,still_wines_stocks_end_of_month_over_14_alcohol,still_wines_stocks_end_of_month_cider,special_natural_wines_vermouth_production,special_natural_wines_vermouth_taxable_withdrawals,special_natural_wines_vermouth_stocks_end_of_month
ALABAMA,32264,0,0,0,,,,0,0,
ARIZONA,145117,1460,203,0,,,,0,0,
ARKANSAS,233958,0,0,0,,,,0,0,
CALIFORNIA,728939759,33724346,635207,1450,,,,547283,105809,
COLORADO,327414,531,320,1257,,,,0,0,
CONNECTICUT,124086,202,0,0,,,,0,0,
FLORIDA,2026230,24701,18160,0,,,,235,0,
GEORGIA,132606,0,0,0,,,,0,0,
IDAHO,805280,1281,472,0,,,,0,0,
ILLINOIS,399157,2535,0,0,,,,40,33,
INDIANA,1100872,8674,0,0,,,,0,0,
IOWA,286775,936,0,0,,,,0,0,
KANSAS,49986,0,0,0,,,,0,0,
KENTUCKY,2241527,26250,0,0,,,,0,0,
LOUISIANA,25189,0,0,0,,,,0,0,
MAINE,52544,1597,0,0,,,,0,0,
MARYLAND,337226,84,316,0,,,,0,0,
MASSACHUSETTS,300907,464,0,0,,,,0,0,
MICHIGAN,2180359,41047,466,13716,,,,3188,2934,
MINNESOTA,186545,4979,0,0,,,,0,0,
MISSOURI,1250654,1125,0,0,,,,0,0,
MONTANA,41356,0,232,0,,,,0,0,
NEBRASKA,122094,0,0,0,,,,0,0,
NEW HAMPSHIRE,95565,2592,0,0,,,,0,0,
NEW JERSEY,1329932,5458,21302,0,,,,233,440,
NEW MEXICO,503708,555,0,0,,,,140,0,
NEW YORK,27150759,184739,16977,204019,,,,473306,445639,
NORTH CAROLINA,1351975,79740,0,3029,,,,0,0,
OHIO,3277838,39638,17035,0,,,,1238,3011,
OKLAHOMA,49712,166,0,0,,,,0,0,
OREGON,7948408,43970,28123,4117,,,,0,0,
PENNSYLVANIA,10272127,13333,1328,0,,,,0,0,
SOUTH CAROLINA,32764,0,0,0,,,,0,0,
SOUTH DAKOTA,53211,124,0,0,,,,0,0,
TENNESSEE,1144283,0,0,0,,,,0,0,
TEXAS,747338,38209,841,0,,,,0,0,
VERMONT,4315420,25,0,0,,,,0,0,
VIRGINIA,1261104,3548,0,159,,,,0,0,
WASHINGTON,34144441,236472,21832,7592,,,,0,0,
WEST VIRGINIA,32478,710,0,0,,,,0,0,
WISCONSIN,833612,0,0,0,,,,0,0,
Others,219913,6082,986,30,,,,0,0,
Total,836106493,34495573,763800,235369,,,,1025663,557866,
