bottled_wine_gallons_by_state,still_wines_bottled,still_wines_taxable_withdrawals_not_over_14_alcohol,still_wines_taxable_withdrawals_over_14_alcohol,still_wines_taxable_withdrawals_cider,still_wines_stocks_end_of_month_not_over_14_alcohol,still_wines_stocks_end_of_month_over_14_alcohol,still_wines_stocks_end_of_month_cider,effervescent_wines_bottled,effervescent_wines_taxable_withdrawals_artificially_carbonated_wines,effervescent_wines_taxable_withdrawals_naturally_carbonated_wines,effervescent_wines_taxable_withdrawals_stocks_end_of_month
ALABAMA,22827,7488596,161112,293,,,,400,16177,458492,
ARIZONA,220482,126621,29142,100,,,,50,1415,0,
ARKANSAS,401722,308638,49815,0,,,,995,453,0,
CALIFORNIA,535841186,345362106,38287042,977781,,,,23538287,712026,14689438,
COLORADO,329909,194336,80373,27175,,,,668,0,451,
CONNECTICUT,144475,114955,2710,1885,,,,2229,2151,444,
FLORIDA,1624566,15034205,664705,276012,,,,3929,11262,716807,
GEORGIA,153178,1286270,30813,42178,,,,994,1132,29994,
IDAHO,558025,95376,29908,0,,,,41,0,336,
ILLINOIS,1397477,19349653,597269,4984,,,,19911,55706,927911,
INDIANA,1683102,1562592,21155,4289,,,,4115,4689,1364,
IOWA,235124,223535,2203,471,,,,2707,2786,136,
KANSAS,44157,9086668,267035,5741,,,,59,36926,603049,
KENTUCKY,184148,92188,56763,187,,,,113,0,47,
LOUISIANA,459512,324583,75,0,,,,0,0,0,
MAINE,39453,22925,14139,11684,,,,1978,1705,36,
MARYLAND,340607,298669,37942,74,,,,1620,0,1526,
MASSACHUSETTS,297095,103507,5993,183265,,,,4702,883,3812,
MICHIGAN,1965515,1599383,19884,182230,,,,72460,10535,57133,
MINNESOTA,715987,438779,10022,166,,,,1761,342,1469,
MISSOURI,1147510,1080403,23681,18687,,,,22947,15491,8228,
MONTANA,45942,38410,5739,305,,,,0,0,0,
NEBRASKA,90808,82997,1030,0,,,,576,341,11,
NEW HAMPSHIRE,93794,71873,8246,648,,,,0,0,0,
NEW JERSEY,1012559,6720496,159038,0,,,,20838,12375,218343,
NEW MEXICO,383990,330725,7831,0,,,,277413,6979,246675,
NEW YORK,32289290,22195866,5706102,1875582,,,,1231211,18175,1225414,
NORTH CAROLINA,1560073,1468871,42251,166,,,,9005,17,10702,
OHIO,5311714,1186365,33760,5253555,,,,49420,13442,6661,
OKLAHOMA,46129,40320,636,0,,,,110,0,40,
OREGON,7447565,10123657,2263927,323190,,,,79939,9590,40560,
PENNSYLVANIA,18960411,29540872,696094,14323193,,,,8000,121096,1560031,
SOUTH CAROLINA,28497,25857,0,40,,,,0,0,0,
SOUTH DAKOTA,44775,45405,1415,0,,,,0,0,0,
TENNESSEE,1167222,336604,16291,668138,,,,6283,5220,655,
TEXAS,2244363,11815179,476421,7882,,,,3069,33324,970816,
VERMONT,9231951,1326034,952,6439231,,,,11243,2576,462,
VIRGINIA,1407244,1010134,51124,266209,,,,13654,0,14224,
WASHINGTON,25717135,20027139,2366503,222882,,,,523604,1171,480213,
WEST VIRGINIA,26773,24531,106,0,,,,0,0,0,
WISCONSIN,1310293,692463,21336,749458,,,,2245,1269,1838,
"Others
",257227,186852,15153,3579,,,,7502,60,5185,
"Total
",656483812,511484638,52265736,31871260,,,,25924078,1099314,22282503,
